timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
38658257,32767,32767,32767,32767,32767,32767,32767
38662256,32767,32767,32767,32767,32767,-45,32767
38666256,32767,32767,32767,32767,-74,32767,32767
38670256,32767,32767,32767,32767,32767,32767,32767
38674256,32767,32767,32767,32767,-49,32767,32767
38678260,32767,32767,32767,32767,32767,32767,32767
38683097,32767,32767,32767,32767,32767,-53,32767
38687056,32767,32767,32767,32767,-67,32767,32767
38691105,32767,32767,32767,32767,32767,32767,32767
38695098,32767,32767,32767,32767,32767,32767,32767
38699056,32767,32767,32767,32767,32767,32767,32767
38703056,32767,32767,32767,32767,32767,-53,32767
38707056,32767,32767,32767,32767,32767,32767,32767
38711097,32767,32767,32767,32767,-77,32767,32767
38715098,32767,32767,32767,32767,32767,-69,32767
38719056,32767,32767,32767,32767,-47,32767,32767
38723056,32767,32767,32767,32767,32767,-53,32767
38727056,32767,32767,32767,32767,32767,32767,32767
38731056,32767,32767,32767,32767,-57,32767,32767
38735098,32767,32767,32767,32767,32767,-69,32767
38739097,32767,32767,32767,32767,32767,32767,32767
38743056,32767,32767,32767,32767,32767,-53,32767
38747056,32767,32767,32767,32767,32767,32767,32767
38751056,32767,32767,32767,32767,32767,32767,32767
38755099,32767,32767,32767,32767,-57,-69,32767
38759057,32767,32767,32767,32767,32767,32767,32767
38763056,32767,32767,32767,32767,32767,-53,32767
38767097,32767,32767,32767,32767,-66,32767,32767
38771056,32767,32767,32767,32767,32767,32767,32767
38775099,32767,32767,32767,32767,32767,-69,32767
38779056,32767,32767,32767,32767,-57,32767,32767
38783056,32767,32767,32767,32767,32767,-53,32767
38787056,32767,32767,32767,32767,32767,32767,32767
38791056,32767,32767,32767,32767,32767,32767,32767
38795060,32767,32767,32767,32767,32767,-69,32767
38799056,32767,32767,32767,32767,32767,32767,32767
38803056,32767,32767,32767,32767,-57,-53,32767
38807056,32767,32767,32767,32767,32767,32767,32767
38811056,32767,32767,32767,32767,32767,32767,32767
38815099,32767,32767,32767,32767,-76,-69,32767
38819056,32767,32767,32767,32767,32767,32767,32767
38823098,32767,32767,32767,32767,-47,-53,32767
38827056,32767,32767,32767,32767,32767,32767,32767
38831057,32767,32767,32767,32767,32767,32767,32767
38835099,32767,32767,32767,32767,32767,-69,32767
38839056,32767,32767,32767,32767,32767,32767,32767
38843056,32767,32767,32767,32767,32767,-53,32767
38847056,32767,32767,32767,32767,-67,32767,32767
38851856,32767,32767,32767,32767,32767,32767,32767
38856656,32767,32767,32767,32767,-62,-85,32767
38860656,32767,32767,32767,32767,32767,32767,32767
38864656,32767,32767,32767,32767,32767,-69,32767
38868656,32767,32767,32767,32767,-67,32767,32767
38872656,32767,32767,32767,32767,32767,-45,32767
38876656,32767,32767,32767,32767,32767,32767,32767
38880656,32767,32767,32767,32767,32767,32767,32767
38884656,32767,32767,32767,32767,32767,-53,32767
38888656,32767,32767,32767,32767,-63,32767,32767
38892656,32767,32767,32767,32767,32767,-45,32767
38896656,32767,32767,32767,32767,-43,32767,32767
38900656,32767,32767,32767,32767,32767,32767,32767
38904656,32767,32767,32767,32767,32767,-53,32767
38908656,32767,32767,32767,32767,-52,32767,32767
38912656,32767,32767,32767,32767,32767,-45,32767
38916656,32767,32767,32767,32767,32767,32767,32767
38920656,32767,32767,32767,32767,32767,32767,32767
38924656,32767,32767,32767,32767,32767,-53,32767
38928656,32767,32767,32767,32767,-43,32767,32767
38932656,32767,32767,32767,32767,32767,-45,32767
38936656,32767,32767,32767,32767,32767,32767,32767
38940656,32767,32767,32767,32767,-63,32767,32767
38944656,32767,32767,32767,32767,32767,-53,32767
38948656,32767,32767,32767,32767,32767,32767,32767
38952656,32767,32767,32767,32767,-73,32767,32767
38956656,32767,32767,32767,32767,32767,-77,32767
38960656,32767,32767,32767,32767,32767,32767,32767
38964656,32767,32767,32767,32767,32767,-53,32767
38968656,32767,32767,32767,32767,32767,32767,32767
38972656,32767,32767,32767,32767,-61,32767,32767
38976656,32767,32767,32767,32767,32767,-69,32767
38980657,32767,32767,32767,32767,-43,32767,32767
38984656,32767,32767,32767,32767,32767,-53,32767
38988656,32767,32767,32767,32767,32767,32767,32767
38992656,32767,32767,32767,32767,-52,32767,32767
38996656,32767,32767,32767,32767,32767,-77,32767
39000656,32767,32767,32767,32767,32767,32767,32767
39005456,32767,32767,32767,32767,32767,-61,32767
39009456,32767,32767,32767,32767,32767,32767,32767
39013456,32767,32767,32767,32767,-51,-45,32767
39017456,32767,32767,32767,32767,32767,32767,32767
39021456,32767,32767,32767,32767,32767,32767,32767
39025456,32767,32767,32767,32767,-71,-61,32767
39029456,32767,32767,32767,32767,32767,32767,32767
39033456,32767,32767,32767,32767,-41,-45,32767
39037456,32767,32767,32767,32767,32767,32767,32767
39041456,32767,32767,32767,32767,32767,32767,32767
39045456,32767,32767,32767,32767,32767,-61,32767
39049456,32767,32767,32767,32767,32767,32767,32767
39053456,32767,32767,32767,32767,32767,-45,32767
39057456,32767,32767,32767,32767,-71,-69,32767
39061456,32767,32767,32767,32767,32767,32767,32767
39065456,32767,32767,32767,32767,-51,-61,32767
39069456,32767,32767,32767,32767,32767,32767,32767
39073457,32767,32767,32767,32767,32767,-45,32767
39077456,32767,32767,32767,32767,-61,-69,32767
39081456,32767,32767,32767,32767,32767,32767,32767
39085456,32767,32767,32767,32767,32767,-61,32767
39089456,32767,32767,32767,32767,32767,32767,32767
39093457,32767,32767,32767,32767,32767,-45,32767
39097456,32767,32767,32767,32767,-51,-69,32767
39101456,32767,32767,32767,32767,32767,32767,32767
39105456,32767,32767,32767,32767,32767,-61,32767
39109456,32767,32767,32767,32767,-70,32767,32767
39113456,32767,32767,32767,32767,32767,-45,32767
39117456,32767,32767,32767,32767,-41,-69,32767
39121456,32767,32767,32767,32767,32767,32767,32767
39125456,32767,32767,32767,32767,32767,-61,32767
39129456,32767,32767,32767,32767,32767,32767,32767
39133456,32767,32767,32767,32767,32767,32767,32767
39137456,32767,32767,32767,32767,32767,-69,32767
39141456,32767,32767,32767,32767,-71,32767,32767
39145456,32767,32767,32767,32767,32767,-61,32767
39149456,32767,32767,32767,32767,-51,32767,32767
39153456,32767,32767,32767,32767,32767,32767,32767
39157456,32767,32767,32767,32767,32767,-69,32767
39161456,32767,32767,32767,32767,-61,32767,32767
39165462,32767,32767,32767,32767,32767,-61,32767
39169456,32767,32767,32767,32767,32767,32767,32767
39174256,32767,32767,32767,32767,32767,32767,32767
39178256,32767,32767,32767,32767,32767,-77,32767
