timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
38651266,38651266,18,47,0,0,0,982,1377,1617,1489,1495,1501,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
38858429,38858429,18,47,0,0,0,982,1377,1617,1489,1495,1501,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
39063985,39063985,18,47,0,0,0,982,1377,1617,1489,1495,1501,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
39248803,39248803,18,47,0,0,0,982,1377,1617,1489,1495,1501,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
39453521,39453521,18,47,0,0,0,982,1377,1617,1489,1495,1501,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
39667188,39667188,18,47,0,0,0,982,1377,1617,1489,1495,1500,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
39860121,39860121,18,47,0,0,0,982,1377,1617,1489,1495,1500,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
40058333,40058333,18,47,0,0,0,982,1377,1617,1489,1495,1501,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
40271898,40271898,18,47,0,0,0,982,1377,1617,1489,1495,1501,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
40469948,40469948,18,47,0,0,0,982,1377,1617,1489,1495,1501,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
40675472,40675472,18,47,0,0,0,982,1377,1617,1489,1495,1501,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
40887260,40887260,18,47,0,0,0,982,1377,1617,1489,1495,1501,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
41072962,41072962,18,47,0,0,0,982,1377,1617,1489,1495,1500,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
41276052,41276052,18,47,0,0,0,1015,1377,1617,1489,1495,1500,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
