timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
38657736,0.15942329,0.0602339,0.50273365
38677735,0.15942329,0.0602339,0.50273365
38697734,0.14835031,0.07054081,0.47366136
38708175,0.1450931,0.06342684,0.48117214
38717735,0.16045995,0.054243144,0.47550365
38728175,0.18688333,0.06742068,0.49825424
38737753,0.20578642,0.05830979,0.4961383
38748176,0.18081677,0.07533555,0.53103745
38757735,0.1784145,0.058455408,0.50411195
38768175,0.19041222,0.08201266,0.5015165
38777734,0.18622994,0.088689774,0.47234306
38788175,0.1882871,0.061721154,0.48558182
38797735,0.1882816,0.072610535,0.4853641
38808175,0.20170142,0.054170337,0.47082198
38817741,0.21248807,0.06542376,0.48854065
38828175,0.19740202,0.0639365,0.50534505
38837735,0.17998716,0.081939854,0.49813768
38848187,0.18566312,0.07326581,0.5182055
38857734,0.17821448,0.09097792,0.49618
38868175,0.15810215,0.084155194,0.5186826
38879334,0.14165415,0.05253746,0.48147672
38888174,0.13830331,0.04898048,0.48527554
38899335,0.16073893,0.04720198,0.48656696
38908175,0.15440437,0.040379252,0.5087221
38919335,0.17172015,0.036822267,0.5119999
38928176,0.16322383,0.0823039,0.516769
38939335,0.16322383,0.0823039,0.516769
38948935,0.16322383,0.0823039,0.516769
38959335,0.16322383,0.0823039,0.516769
38969735,0.16322383,0.0823039,0.516769
38979334,0.15588892,0.0565313,0.4992537
38988935,0.16240337,0.07075924,0.48423213
38999334,0.18381514,0.04956295,0.51326156
39008934,0.18167904,0.051050205,0.49689144
39019334,0.1872431,0.08223109,0.51252156
39028935,0.17504352,0.09482614,0.5071124
39039334,0.17589483,0.09231957,0.47253108
39048935,0.17584802,0.094098054,0.47067514
39050541,0.18445909,0.094098054,0.47045797
39059334,0.18967988,0.07780039,0.47247395
39068934,0.18991388,0.06890793,0.48175386
39070535,0.1916361,0.06890793,0.48171043
39079335,0.20578824,0.054679997,0.49621084
39088935,0.2057855,0.060124688,0.496102
39090534,0.17953928,0.05979705,0.48037615
39099335,0.17886786,0.06970883,0.52209115
39108935,0.17887793,0.04974497,0.5224903
39110535,0.1597041,0.04956295,0.5138696
39119335,0.15727255,0.09075949,0.48578298
39130534,0.15895529,0.07801882,0.48417386
39139334,0.14500499,0.056094445,0.4776779
39150534,0.15049557,0.050904587,0.49039438
39159335,0.15719724,0.058018554,0.4827967
39170534,0.17143752,0.05112301,0.5007914
39180176,0.16119413,0.054825615,0.50461876
39190534,0.15997027,0.06793033,0.52442485
39199335,0.20409271,0.09282923,0.49731195
39210535,0.20409271,0.09282923,0.49731195
39220935,0.20409271,0.09282923,0.49731195
39240175,0.20409271,0.09282923,0.49731195
39250535,0.16947946,0.063645266,0.49148232
39261734,0.16305676,0.04949014,0.51014334
39270535,0.15476048,0.062449243,0.5228443
39281734,0.16322567,0.0786741,0.51684153
39290535,0.15569256,0.08179423,0.4914669
39301734,0.15886351,0.077946015,0.48053446
39310535,0.17916304,0.07765478,0.46545574
39321735,0.1829782,0.07068643,0.4800716
39330534,0.16213354,0.05965143,0.47353163
39340934,0.17971367,0.07809163,0.4872921
39350534,0.1749664,0.06571499,0.50405365
39361734,0.18919383,0.084228,0.52154034
39370535,0.19748281,0.08578806,0.50854903
39381755,0.18863772,0.094680525,0.49948618
39390538,0.17590398,0.074170604,0.47289395
39400934,0.18140006,0.058091365,0.4858281
39410534,0.18484265,0.061721154,0.48566866
39421734,0.19368777,0.052828696,0.49473146
39430535,0.20633338,0.06600623,0.5178295
39441734,0.16128774,0.05126863,0.5083307
39450535,0.16537458,0.051778294,0.53371966
39460936,0.17618296,0.06712944,0.4839573
39470542,0.17598477,0.09602217,0.47609794
39481735,0.17598477,0.09602217,0.47609794
39501735,0.17598477,0.09602217,0.47609794
39521735,0.19069669,0.06408212,0.51279753
39532174,0.18715133,0.082158275,0.50888216
39541735,0.17681804,0.082158275,0.50914276
39552934,0.18827428,0.08712971,0.48507383
39561749,0.16303846,0.08578806,0.5094176
39572934,0.13299626,0.05431595,0.47983786
39581735,0.15897907,0.03083151,0.4851173
39592175,0.15570171,0.063645266,0.49182975
39602534,0.15244998,0.045641918,0.4995582
39612174,0.17152563,0.058455408,0.5042857
39621735,0.20419729,0.06749348,0.50145936
39632174,0.17373885,0.0860793,0.52371454
39641735,0.20885095,0.08342711,0.48098588
39652175,0.17934658,0.07780039,0.4727345
39661735,0.18456917,0.057872936,0.47482306
39672166,0.16119413,0.054825615,0.50461876
39681735,0.15589623,0.042012125,0.49954396
39692175,0.1816772,0.054679997,0.49681884
39701735,0.16332659,0.060597945,0.52084386
39712183,0.14759813,0.058601025,0.51217246
39721735,0.16061606,0.10883566,0.48169383
39732175,0.18640983,0.09609498,0.47947672
39741735,0.19797434,0.06847108,0.45970038
39752181,0.20505224,0.05772732,0.4670231
39772935,0.20505224,0.05772732,0.4670231
39783335,0.20505224,0.05772732,0.4670231
39792934,0.14089645,0.05148706,0.51977
39803334,0.14414454,0.076749995,0.51189643
39812934,0.1491726,0.07845567,0.5062707
39823334,0.15207739,0.056240063,0.48478296
39832935,0.15524833,0.052391842,0.4738505
39843334,0.19526955,0.058164172,0.48912007
39852934,0.20569648,0.05460719,0.49257147
39863334,0.19218856,0.06571499,0.5036194
39872934,0.18892218,0.076749995,0.51076734
39883334,0.19273554,0.073411435,0.5253106
39892940,0.17663266,0.08564244,0.50179136
39903334,0.13856399,0.07823725,0.4956132
39912935,0.14164865,0.06342684,0.48125902
39923334,0.16353181,0.064841285,0.4606415
39932934,0.15011933,0.06876232,0.47547394
39943334,0.17161922,0.054898426,0.5079976
39952935,0.17171831,0.04045206,0.5119273
39963335,0.15979221,0.056895345,0.51736385
39974540,0.14096992,0.0878578,0.5226837
39983335,0.16194268,0.07402498,0.4659626
39994551,0.16575055,0.0815758,0.48028818
40003335,0.18642263,0.07068643,0.47998473
40014546,0.18633819,0.056094445,0.47663563
40023373,0.1544007,0.047638834,0.508577
40034535,0.1544007,0.047638834,0.508577
40044176,0.1544007,0.047638834,0.508577
40044936,0.1544007,0.047638834,0.508577
40054536,0.1544007,0.047638834,0.508577
40064175,0.1544007,0.047638834,0.508577
40064935,0.1544007,0.047638834,0.508577
40074534,0.14685664,0.07253773,0.482767
40084175,0.17022434,0.090104215,0.45268098
40094534,0.18455818,0.0796517,0.47438765
40104177,0.18642813,0.05979705,0.48020244
