timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
14179101,32767,32767,32767,32767,32767,32767,32767
14183058,32767,32767,32767,32767,32767,32767,32767
14187058,32767,32767,32767,32767,-76,-53,32767
14191057,32767,32767,32767,32767,32767,32767,32767
14195057,32767,32767,32767,32767,-47,-45,32767
14199099,32767,32767,32767,32767,32767,32767,32767
14203082,32767,32767,32767,32767,32767,32767,32767
14207057,32767,32767,32767,32767,-67,-53,32767
14211057,32767,32767,32767,32767,32767,32767,32767
14215057,32767,32767,32767,32767,32767,-45,32767
14219109,32767,32767,32767,32767,32767,32767,32767
14223057,32767,32767,32767,32767,32767,32767,32767
14227057,32767,32767,32767,32767,-57,-53,32767
14231083,32767,32767,32767,32767,32767,32767,32767
14235057,32767,32767,32767,32767,32767,-45,32767
14239857,32767,32767,32767,32767,-65,32767,32767
14243857,32767,32767,32767,32767,32767,32767,32767
14247857,32767,32767,32767,32767,32767,-61,32767
14251857,32767,32767,32767,32767,-75,32767,32767
14255857,32767,32767,32767,32767,32767,-53,32767
14259857,32767,32767,32767,32767,32767,32767,32767
14263857,32767,32767,32767,32767,32767,32767,32767
14267857,32767,32767,32767,32767,32767,-61,32767
14271857,32767,32767,32767,32767,-55,32767,32767
14275857,32767,32767,32767,32767,32767,-53,32767
14279857,32767,32767,32767,32767,32767,32767,32767
14283857,32767,32767,32767,32767,-74,32767,32767
14287857,32767,32767,32767,32767,32767,-61,32767
14291857,32767,32767,32767,32767,-45,32767,32767
14295857,32767,32767,32767,32767,32767,-45,32767
14299857,32767,32767,32767,32767,32767,-77,32767
14303857,32767,32767,32767,32767,32767,32767,32767
14307857,32767,32767,32767,32767,32767,-61,32767
14311858,32767,32767,32767,32767,32767,32767,32767
14315857,32767,32767,32767,32767,-75,-45,32767
14319857,32767,32767,32767,32767,32767,-69,32767
14323857,32767,32767,32767,32767,-54,32767,32767
14327857,32767,32767,32767,32767,32767,-61,32767
14331859,32767,32767,32767,32767,32767,32767,32767
14335857,32767,32767,32767,32767,-57,32767,32767
14339857,32767,32767,32767,32767,32767,-69,32767
14343857,32767,32767,32767,32767,32767,32767,32767
14347857,32767,32767,32767,32767,32767,-61,32767
14351857,32767,32767,32767,32767,32767,32767,32767
14355857,32767,32767,32767,32767,-55,32767,32767
14359857,32767,32767,32767,32767,32767,-69,32767
14363857,32767,32767,32767,32767,32767,32767,32767
14367857,32767,32767,32767,32767,-73,-61,32767
14371857,32767,32767,32767,32767,32767,32767,32767
14375857,32767,32767,32767,32767,-45,32767,32767
14379872,32767,32767,32767,32767,32767,-69,32767
14383857,32767,32767,32767,32767,32767,32767,32767
14387857,32767,32767,32767,32767,32767,-61,32767
14391857,32767,32767,32767,32767,32767,32767,32767
14395857,32767,32767,32767,32767,32767,32767,32767
14399857,32767,32767,32767,32767,-74,-69,32767
14404657,32767,32767,32767,32767,32767,32767,32767
14408657,32767,32767,32767,32767,-62,-69,32767
14412657,32767,32767,32767,32767,32767,32767,32767
14416657,32767,32767,32767,32767,32767,32767,32767
14420657,32767,32767,32767,32767,-73,-77,32767
14424657,32767,32767,32767,32767,32767,32767,32767
14428657,32767,32767,32767,32767,32767,-69,32767
14432657,32767,32767,32767,32767,32767,32767,32767
14436657,32767,32767,32767,32767,32767,-45,32767
14440657,32767,32767,32767,32767,-61,32767,32767
14444657,32767,32767,32767,32767,32767,32767,32767
14448657,32767,32767,32767,32767,-42,-61,32767
14452657,32767,32767,32767,32767,32767,32767,32767
14456657,32767,32767,32767,32767,32767,-45,32767
14460657,32767,32767,32767,32767,-53,32767,32767
14464657,32767,32767,32767,32767,32767,32767,32767
14468657,32767,32767,32767,32767,32767,-69,32767
14472657,32767,32767,32767,32767,32767,32767,32767
14476657,32767,32767,32767,32767,32767,-45,32767
14480657,32767,32767,32767,32767,-42,32767,32767
14484657,32767,32767,32767,32767,32767,32767,32767
14488657,32767,32767,32767,32767,32767,-69,32767
14492657,32767,32767,32767,32767,-62,32767,32767
14496657,32767,32767,32767,32767,32767,-45,32767
14500657,32767,32767,32767,32767,32767,32767,32767
14504657,32767,32767,32767,32767,-60,32767,32767
14508657,32767,32767,32767,32767,32767,-69,32767
14512657,32767,32767,32767,32767,32767,32767,32767
14516658,32767,32767,32767,32767,32767,-45,32767
14520657,32767,32767,32767,32767,32767,32767,32767
14524657,32767,32767,32767,32767,-43,32767,32767
14528657,32767,32767,32767,32767,32767,32767,32767
14532657,32767,32767,32767,32767,32767,32767,32767
14536657,32767,32767,32767,32767,-53,32767,32767
14540658,32767,32767,32767,32767,32767,-77,32767
14544657,32767,32767,32767,32767,32767,32767,32767
14548657,32767,32767,32767,32767,-63,32767,32767
14552658,32767,32767,32767,32767,32767,32767,32767
14556657,32767,32767,32767,32767,32767,32767,32767
14560658,32767,32767,32767,32767,32767,-77,32767
14564657,32767,32767,32767,32767,32767,32767,32767
14568657,32767,32767,32767,32767,32767,-45,32767
14572657,32767,32767,32767,32767,-72,32767,32767
14576657,32767,32767,32767,32767,32767,32767,32767
14580657,32767,32767,32767,32767,-53,-77,32767
14585457,32767,32767,32767,32767,32767,32767,32767
14589465,32767,32767,32767,32767,32767,-61,32767
14593457,32767,32767,32767,32767,-69,32767,32767
14597457,32767,32767,32767,32767,32767,-45,32767
14601457,32767,32767,32767,32767,32767,32767,32767
14605457,32767,32767,32767,32767,32767,32767,32767
14609457,32767,32767,32767,32767,32767,-61,32767
14613457,32767,32767,32767,32767,-61,32767,32767
14617457,32767,32767,32767,32767,32767,-45,32767
14621458,32767,32767,32767,32767,-41,32767,32767
14625463,32767,32767,32767,32767,32767,32767,32767
14629459,32767,32767,32767,32767,32767,-61,32767
14633458,32767,32767,32767,32767,-51,32767,32767
14637457,32767,32767,32767,32767,32767,-45,32767
14641457,32767,32767,32767,32767,32767,32767,32767
14645457,32767,32767,32767,32767,32767,32767,32767
14649466,32767,32767,32767,32767,32767,-61,32767
14653468,32767,32767,32767,32767,-41,32767,32767
14657457,32767,32767,32767,32767,32767,-45,32767
14661458,32767,32767,32767,32767,32767,32767,32767
14665458,32767,32767,32767,32767,-57,32767,32767
14669457,32767,32767,32767,32767,32767,-61,32767
14673457,32767,32767,32767,32767,32767,32767,32767
14677457,32767,32767,32767,32767,-71,-45,32767
14681459,32767,32767,32767,32767,32767,32767,32767
14685459,32767,32767,32767,32767,32767,32767,32767
14689457,32767,32767,32767,32767,32767,-61,32767
14693457,32767,32767,32767,32767,32767,32767,32767
14697457,32767,32767,32767,32767,-61,-45,32767
14701457,32767,32767,32767,32767,32767,32767,32767
14705458,32767,32767,32767,32767,-41,32767,32767
14709457,32767,32767,32767,32767,32767,-61,32767
14713457,32767,32767,32767,32767,32767,32767,32767
14717457,32767,32767,32767,32767,-51,-45,32767
14721458,32767,32767,32767,32767,32767,32767,32767
14725457,32767,32767,32767,32767,32767,32767,32767
14729457,32767,32767,32767,32767,32767,-61,32767
14733468,32767,32767,32767,32767,32767,32767,32767
14737458,32767,32767,32767,32767,-41,-45,32767
14741457,32767,32767,32767,32767,32767,-69,32767
14746257,32767,32767,32767,32767,32767,32767,32767
14750257,32767,32767,32767,32767,-69,-69,32767
14754257,32767,32767,32767,32767,32767,32767,32767
14758257,32767,32767,32767,32767,32767,-53,32767
14762257,32767,32767,32767,32767,-60,-77,32767
14766257,32767,32767,32767,32767,32767,32767,32767
14770257,32767,32767,32767,32767,32767,-61,32767
14774257,32767,32767,32767,32767,32767,32767,32767
14778257,32767,32767,32767,32767,32767,32767,32767
14782257,32767,32767,32767,32767,-49,-77,32767
14786257,32767,32767,32767,32767,32767,32767,32767
14790256,32767,32767,32767,32767,32767,-53,32767
14794257,32767,32767,32767,32767,-59,32767,32767
14798257,32767,32767,32767,32767,32767,32767,32767
14802257,32767,32767,32767,32767,32767,-77,32767
14806257,32767,32767,32767,32767,-68,32767,32767
14810257,32767,32767,32767,32767,32767,-61,32767
14814257,32767,32767,32767,32767,32767,32767,32767
14818257,32767,32767,32767,32767,32767,32767,32767
14822257,32767,32767,32767,32767,32767,-77,32767
14826257,32767,32767,32767,32767,32767,32767,32767
14830257,32767,32767,32767,32767,-76,-61,32767
14834257,32767,32767,32767,32767,32767,32767,32767
14838257,32767,32767,32767,32767,-49,32767,32767
14842257,32767,32767,32767,32767,32767,-77,32767
14846257,32767,32767,32767,32767,32767,32767,32767
14850257,32767,32767,32767,32767,-59,-61,32767
14854257,32767,32767,32767,32767,32767,32767,32767
14858257,32767,32767,32767,32767,32767,32767,32767
14862257,32767,32767,32767,32767,32767,-77,32767
14866257,32767,32767,32767,32767,32767,32767,32767
14870257,32767,32767,32767,32767,32767,-61,32767
14874257,32767,32767,32767,32767,-69,32767,32767
14878257,32767,32767,32767,32767,32767,32767,32767
14882257,32767,32767,32767,32767,32767,-77,32767
14886257,32767,32767,32767,32767,-75,32767,32767
14891057,32767,32767,32767,32767,32767,-69,32767
14895857,32767,32767,32767,32767,-64,32767,32767
14899857,32767,32767,32767,32767,32767,-53,32767
14903876,32767,32767,32767,32767,32767,32767,32767
14907857,32767,32767,32767,32767,32767,32767,32767
