timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
14169270,14169270,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
14379036,14379036,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
14571098,14571098,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
14781644,14781644,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
14989794,14989794,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
15175483,15175483,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
15379134,15379134,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
15588024,15588024,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
15798415,15798415,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
15990687,15990687,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
16185244,16185244,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
16400705,16400705,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
16586613,16586613,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
16804310,16804310,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
