timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
14170536,-0.06718802,0.3154426,0.46873224
14181745,-0.08418484,0.27975824,0.4097626
14190535,-0.12140376,0.225821,0.4372823
14201735,-0.14102793,0.16128564,0.47914302
14210535,-0.09784673,0.1849885,0.48304468
14221740,-0.047143407,0.22734998,0.5118855
14230535,-0.04324039,0.2753693,0.4616438
14241735,-0.06789841,0.26767284,0.44056055
14250535,-0.11274587,0.22404252,0.43892112
14261735,-0.15127128,0.16498822,0.48297045
14270544,-0.10437949,0.2070585,0.49734056
14281743,-0.10437949,0.2070585,0.49734056
14291336,-0.10437949,0.2070585,0.49734056
14292176,-0.10437949,0.2070585,0.49734056
14301736,-0.10437949,0.2070585,0.49734056
14311336,-0.10438224,0.2125032,0.4972317
14312936,-0.09030475,0.21137466,0.44043028
14321735,-0.1197116,0.14727612,0.5043879
14332935,-0.090320945,0.19638754,0.508129
14341735,-0.07973795,0.24742307,0.5177707
14352935,-0.063831694,0.30811024,0.46515116
14361745,-0.08930469,0.27797976,0.41174883
14372935,-0.11787121,0.23315339,0.4406897
14381749,-0.16196619,0.15380763,0.46889114
14392935,-0.09580422,0.18705823,0.49570283
14401736,-0.06036868,0.22415705,0.53414196
14412935,-0.039058115,0.26869217,0.4908172
14421736,-0.08177341,0.2784894,0.43705085
14432175,-0.10911789,0.22418813,0.44611305
14442535,-0.1569436,0.16640268,0.46304777
14452175,-0.12159434,0.19253932,0.4980651
14461746,-0.04863711,0.2293469,0.5209912
14472175,-0.048554767,0.29522395,0.45591584
14481736,-0.0529904,0.2581251,0.41669503
14492174,-0.09152679,0.22084957,0.46030894
14501736,-0.1390717,0.15239316,0.48837954
14512174,-0.12644252,0.19823883,0.51082444
14532937,-0.12644252,0.19823883,0.51082444
14552936,-0.10939138,0.22033991,0.43526745
14564174,-0.1362715,0.1555133,0.46274436
14572936,-0.0936608,0.17105179,0.51236326
14583351,-0.07016233,0.24637266,0.5558035
14592936,-0.05833561,0.292031,0.47808534
14603352,-0.07349542,0.30182824,0.42362413
14612936,-0.1044569,0.22560257,0.42592984
14623335,-0.13981868,0.17721926,0.45875636
14632936,-0.12336153,0.19068803,0.49632514
14643335,-0.07981874,0.22557151,0.5145667
14652936,-0.039238002,0.26128697,0.48368356
14663335,-0.04899899,0.26582152,0.43829945
14672936,-0.100654535,0.24404277,0.4400377
14683335,-0.14988217,0.18832704,0.4697174
14692936,-0.12122908,0.19646035,0.51255006
14703335,-0.09826479,0.23867622,0.5348071
14712936,-0.07052604,0.2864771,0.4730391
14723336,-0.067142546,0.27235305,0.40219465
14732936,-0.06633961,0.22759949,0.4340366
14734536,-0.09217286,0.22759949,0.43468803
14743335,-0.14334393,0.15536769,0.45563927
14752935,-0.14335491,0.17714645,0.45520383
14754536,-0.11423929,0.1783842,0.5163787
14764176,-0.11423929,0.1783842,0.5163787
14774536,-0.11423929,0.1783842,0.5163787
14784936,-0.11423929,0.1783842,0.5163787
14794570,-0.10455782,0.24367873,0.42192757
14804183,-0.14511661,0.16440575,0.45368156
14814535,-0.116547965,0.15794706,0.4931652
14824176,-0.07050746,0.20252392,0.5421167
14834536,-0.047721494,0.28136006,0.48896068
14844176,-0.059253335,0.29130292,0.4416914
14854535,-0.09609447,0.26353338,0.41585222
14864175,-0.14838482,0.17907056,0.46075696
14874536,-0.14913884,0.17076056,0.4991954
14884176,-0.088296734,0.23475519,0.5200615
14894535,-0.05153119,0.277439,0.4745625
14905744,-0.03550389,0.28012228,0.42674357
14914536,-0.08873576,0.24211866,0.43431088
14925735,-0.13332225,0.18008988,0.51136094
14934576,-0.116180874,0.15823829,0.50772274
14945735,-0.084298015,0.22793245,0.5419561
14954535,-0.06318197,0.2941007,0.4909172
14965735,-0.07331554,0.30923343,0.43075776
14974536,-0.09283357,0.26338777,0.40848655
14985735,-0.13451347,0.17551355,0.46412146
14995336,-0.13451347,0.17551355,0.46412146
14996176,-0.13451347,0.17551355,0.46412146
15005736,-0.13451347,0.17551355,0.46412146
15016190,-0.13451347,0.17551355,0.46412146
15025735,-0.06782493,0.30404356,0.44347423
15035336,-0.06844904,0.267236,0.41872418
15036177,-0.10633782,0.267236,0.41967958
15045745,-0.15007487,0.2063304,0.4620758
15055337,-0.1500529,0.16277288,0.46294662
15056936,-0.14252163,0.16328254,0.48824865
15065737,-0.086883835,0.2109067,0.5077519
15075359,-0.08692135,0.28531748,0.5062642
15076936,-0.054520424,0.28506264,0.49270117
15085736,-0.04351571,0.27515087,0.4507256
15096935,-0.076811485,0.2293052,0.42880183
15105735,-0.13451897,0.18640293,0.46390373
15116935,-0.14048095,0.16898207,0.5008343
15125736,-0.09694365,0.21475494,0.51885813
15136935,-0.07015895,0.28676832,0.48759666
15145736,-0.055632677,0.3059677,0.44859302
15156935,-0.07606294,0.24850455,0.39014566
15165737,-0.100425236,0.15344357,0.44913074
