timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
161843856,32767,32767,32767,32767,32767,32767,32767
161847857,32767,32767,32767,32767,32767,-77,32767
161851858,32767,32767,32767,32767,32767,32767,32767
161855860,32767,32767,32767,32767,32767,-69,32767
161859857,32767,32767,32767,32767,-55,32767,32767
161863873,32767,32767,32767,32767,32767,32767,32767
161867857,32767,32767,32767,32767,32767,-77,32767
161871857,32767,32767,32767,32767,-75,32767,32767
161875873,32767,32767,32767,32767,32767,-69,32767
161879857,32767,32767,32767,32767,-45,32767,32767
161883857,32767,32767,32767,32767,32767,32767,32767
161887861,32767,32767,32767,32767,32767,-77,32767
161891857,32767,32767,32767,32767,32767,32767,32767
161895857,32767,32767,32767,32767,32767,-69,32767
161899857,32767,32767,32767,32767,32767,32767,32767
161903857,32767,32767,32767,32767,-75,32767,32767
161907857,32767,32767,32767,32767,32767,-77,32767
161911857,32767,32767,32767,32767,-55,32767,32767
161915857,32767,32767,32767,32767,32767,-69,32767
161919857,32767,32767,32767,32767,32767,32767,32767
161923857,32767,32767,32767,32767,-62,-45,32767
161927857,32767,32767,32767,32767,32767,32767,32767
161931857,32767,32767,32767,32767,32767,32767,32767
161935857,32767,32767,32767,32767,32767,-69,32767
161939857,32767,32767,32767,32767,32767,32767,32767
161943857,32767,32767,32767,32767,-55,-45,32767
161947857,32767,32767,32767,32767,32767,32767,32767
161951857,32767,32767,32767,32767,32767,32767,32767
161955857,32767,32767,32767,32767,-68,-61,32767
161959857,32767,32767,32767,32767,32767,32767,32767
161963857,32767,32767,32767,32767,-45,32767,32767
161967857,32767,32767,32767,32767,32767,-77,32767
161972657,32767,32767,32767,32767,32767,32767,32767
161976657,32767,32767,32767,32767,32767,-53,32767
161980660,32767,32767,32767,32767,32767,32767,32767
161984657,32767,32767,32767,32767,-43,-45,32767
161988658,32767,32767,32767,32767,32767,32767,32767
161992669,32767,32767,32767,32767,32767,32767,32767
161996657,32767,32767,32767,32767,-57,-53,32767
162000657,32767,32767,32767,32767,32767,32767,32767
162004657,32767,32767,32767,32767,32767,-45,32767
162008657,32767,32767,32767,32767,-73,32767,32767
162012657,32767,32767,32767,32767,32767,32767,32767
162016657,32767,32767,32767,32767,32767,-53,32767
162020657,32767,32767,32767,32767,32767,32767,32767
162024657,32767,32767,32767,32767,32767,-45,32767
162028657,32767,32767,32767,32767,-62,32767,32767
162032658,32767,32767,32767,32767,32767,32767,32767
162036657,32767,32767,32767,32767,-43,-53,32767
162040657,32767,32767,32767,32767,32767,32767,32767
162044657,32767,32767,32767,32767,32767,-45,32767
162048657,32767,32767,32767,32767,-53,32767,32767
162052657,32767,32767,32767,32767,32767,32767,32767
162056657,32767,32767,32767,32767,32767,-61,32767
