timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
161844309,161844309,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
162022696,162022696,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
162232705,162232705,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
162445793,162445793,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
162632228,162632228,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
162853139,162853139,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
163054406,163054406,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
163249787,163249787,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
163442967,163442967,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
163658594,163658594,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
163869116,163869116,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
164055767,164055767,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
164264601,164264601,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
164472819,164472819,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
164661505,164661505,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
164871094,164871094,18,42,0,0,0,982,1377,1616,1488,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
165081272,165081272,18,42,0,0,0,982,1377,1616,1487,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
165274741,165274741,18,42,0,0,0,1007,1377,1616,1487,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
165486872,165486872,18,42,0,0,0,1010,1377,1616,1487,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
165688821,165688821,18,42,0,0,0,1011,1377,1616,1487,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
165878576,165878576,18,42,0,0,0,1010,1377,1616,1487,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
166095491,166095491,18,42,0,0,0,1011,1377,1616,1487,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
166302689,166302689,18,42,0,0,0,1010,1377,1616,1487,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
166495407,166495407,18,42,0,0,0,1011,1377,1616,1487,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
166703567,166703567,18,42,0,0,0,1030,1377,1616,1487,1495,1492,1494,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,0,0,4
