timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
161843856,0.003063531,0.009253321,0.0015162791,3999,0,-0.1749825,-0.13173272,-9.7866745,3999
161847857,0.005085062,0.009679289,0.0014565135,4001,0,-0.20553698,-0.1182671,-9.790931,4001
161851858,0.005436051,0.009700442,0.0026188719,4001,0,-0.21543904,-0.08005619,-9.768142,4001
161855860,0.003990114,0.008354626,0.0044921027,4002,0,-0.21616155,-0.08711995,-9.759407,4002
161859857,0.0030103046,0.0070595774,0.0035912942,3997,0,-0.21754359,-0.118241355,-9.758857,3997
161863873,0.0030294375,0.006116338,0.0043498725,4016,0,-0.2050497,-0.11326908,-9.734876,4016
161867857,0.0025971537,0.0055788825,0.004156313,3984,0,-0.20795622,-0.12635761,-9.735517,3984
161871857,0.0019368704,0.00439105,0.0032392596,4000,0,-0.19709401,-0.1130182,-9.795524,4000
161875873,0.0023457063,0.004057694,0.0025962535,4016,0,-0.20389676,-0.116044745,-9.801014,4016
161879857,0.0017904832,0.005955004,0.0016143777,3984,0,-0.18792835,-0.09787823,-9.771814,3984
161883857,0.0024492305,0.0059720282,0.0024492368,4000,0,-0.18364863,-0.11156547,-9.771625,4000
161887861,0.0014178512,0.006422211,0.003743964,4004,0,-0.17494752,-0.12454819,-9.766348,4004
161891857,0.002064437,0.005152953,0.0040722704,3996,0,-0.17967112,-0.14570233,-9.783431,3996
161895857,0.0021786306,0.005690994,0.0043781395,4000,0,-0.16085936,-0.14344256,-9.792025,4000
161899857,0.0037516842,0.0070615727,0.0036723209,4000,0,-0.16015977,-0.15472986,-9.799108,4000
161903857,0.004173966,0.009608471,0.0032946211,4000,0,-0.15394871,-0.1497091,-9.766304,4000
161907857,0.0040318747,0.010857035,0.0018866245,4000,0,-0.18495406,-0.14441808,-9.767136,4000
161911857,0.003726477,0.010123782,0.002440452,4000,0,-0.19842309,-0.0981407,-9.753913,4000
161915857,0.003517376,0.007891629,0.002596856,4000,0,-0.21891284,-0.119008064,-9.755361,4000
161919857,0.0019520132,0.0060110143,0.0038394744,4000,0,-0.21383071,-0.10640945,-9.741436,4000
161923857,0.0016417954,0.004516205,0.0042026252,4000,0,-0.19827573,-0.13338247,-9.747975,4000
161927857,0.0014180146,0.0050399583,0.0037716136,4000,0,-0.18001215,-0.12972657,-9.759455,4000
161931857,0.0014271111,0.0043992274,0.004000485,4000,0,-0.19272311,-0.14731899,-9.7895975,4000
161935857,0.002133589,0.006719629,0.0026551906,4000,0,-0.17326759,-0.14577882,-9.812142,4000
161939857,0.0033898188,0.0075495727,0.00174951,4000,0,-0.1763919,-0.14245549,-9.805556,4000
161943857,0.0029690946,0.008623536,0.0019571756,4000,0,-0.18251881,-0.11858176,-9.783409,4000
161947857,0.0028412538,0.008606373,0.0011087958,4000,0,-0.18759982,-0.12427968,-9.77746,4000
161951857,0.0019210426,0.0091683045,0.002611568,4000,0,-0.20191497,-0.10505237,-9.760349,4000
161955857,0.0019485153,0.0079127755,0.0037007623,4000,0,-0.20284684,-0.10347707,-9.778442,4000
161959857,0.0013976697,0.008111202,0.0029648163,4000,0,-0.1941828,-0.11198863,-9.793251,4000
161963857,0.0020551665,0.0073807742,0.003708714,4000,0,-0.1898603,-0.1193409,-9.77274,4000
161967857,0.0017547708,0.007395667,0.004461337,4000,0,-0.18791926,-0.10284072,-9.771216,4000
161972657,0.0025573582,0.0074981456,0.0032499349,4800,0,-0.19550358,-0.088429466,-9.757367,4800
161976657,0.002348152,0.006082685,0.002662528,4000,0,-0.20006981,-0.11236264,-9.7626295,4000
161980660,0.0021572544,0.0058940263,0.0033098988,4003,0,-0.20338942,-0.12293244,-9.763312,4003
161984657,0.0019365939,0.0049229153,0.0032283606,3997,0,-0.19392931,-0.12633707,-9.783455,3997
161988658,0.0019473045,0.0049256906,0.0036530388,4001,0,-0.1805252,-0.15268965,-9.796132,4001
161992669,0.0009897259,0.0062096473,0.0037590172,4011,0,-0.17948116,-0.15213032,-9.813781,4011
161996657,0.0022578153,0.00694368,0.0030731624,3988,0,-0.1718323,-0.14383972,-9.812671,3988
162000657,0.0037293541,0.009173398,0.0025545566,4000,0,-0.17190689,-0.1406696,-9.799443,4000
162004657,0.0040489794,0.008849522,0.0025650847,4000,0,-0.19703452,-0.12714529,-9.7747965,4000
162008657,0.0042451387,0.010113147,0.0018953361,4000,0,-0.21314345,-0.105392694,-9.752921,4000
162012657,0.0028524683,0.007125546,0.0015641717,4000,0,-0.21588391,-0.11160141,-9.748444,4000
162016657,0.0024410437,0.0059656375,0.002129878,4000,0,-0.22008158,-0.10814672,-9.745072,4000
162020657,0.002048191,0.005246375,0.0034321628,4000,0,-0.19751348,-0.12034732,-9.774431,4000
162024657,0.0007935799,0.004624862,0.004328186,4000,0,-0.18360433,-0.10948942,-9.788803,4000
162028657,0.00119154,0.0053487904,0.003238892,4000,0,-0.17671661,-0.11521778,-9.760783,4000
162032658,0.002564306,0.00491414,0.0027869034,4001,0,-0.16248608,-0.11610178,-9.781112,4001
162036657,0.0026674496,0.005657003,0.0026629942,3999,0,-0.17289457,-0.11983352,-9.797906,3999
162040657,0.0029730145,0.006178047,0.0021124803,4000,0,-0.16197617,-0.094659835,-9.798682,4000
162044657,0.0024755087,0.008865177,0.003454535,4000,0,-0.1762763,-0.10788644,-9.781402,4000
162048657,0.002691693,0.0069543715,0.0035947203,4000,0,-0.1626165,-0.11961331,-9.78675,4000
162052657,0.0031180538,0.009083184,0.003647856,4000,0,-0.16106153,-0.115998246,-9.800184,4000
162056657,0.004059102,0.010028022,0.0029663625,4000,0,-0.1715553,-0.13115144,-9.782482,4000
162060658,0.0034139908,0.007995928,0.0024907945,4001,0,-0.18276393,-0.1393522,-9.778128,4001
162064657,0.0029986398,0.0085414285,0.0031285216,3999,0,-0.20452274,-0.11938026,-9.75096,3999
162068657,0.0023423904,0.0071425736,0.0024287822,4000,0,-0.2026112,-0.11260136,-9.750187,4000
162072657,0.0025577098,0.005869884,0.0026614987,4000,0,-0.20335464,-0.14720376,-9.760853,4000
162076657,0.0023730411,0.004612226,0.0036496138,4000,0,-0.20079495,-0.11643582,-9.772523,4000
162080657,0.0023014222,0.0041121608,0.0052527213,4000,0,-0.19547157,-0.1408774,-9.787772,4000
