timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
161840184,-0.08438247,0.21334049,0.538607
161848936,-0.07723108,0.23896746,0.5488435
161860175,-0.09313579,0.22230574,0.53318363
161868936,-0.08616246,0.23689774,0.5363591
161880175,-0.079268105,0.22600837,0.53640306
161888936,-0.07274998,0.2329767,0.5215266
161900175,-0.07599989,0.21134356,0.5293277
161908945,-0.06353231,0.2134861,0.5453647
161919335,-0.07023946,0.21726151,0.5527446
161928936,-0.08421539,0.24615423,0.5452328
161939335,-0.086070694,0.23697056,0.5399985
161949742,-0.086070694,0.23697056,0.5399985
161960177,-0.086070694,0.23697056,0.5399985
161971335,-0.07468973,0.20920104,0.51294327
161980176,-0.0708837,0.22038165,0.5271962
161991335,-0.07785519,0.20215988,0.5240935
162000175,-0.084298015,0.22793245,0.5419561
162011335,-0.08411813,0.23533766,0.5490898
162020174,-0.0859716,0.22252418,0.54392815
162031335,-0.078910165,0.24444856,0.5505977
162040174,-0.08942518,0.24067314,0.5436521
162050535,-0.08625424,0.23682493,0.5327196
162060176,-0.09313945,0.22956534,0.5330385
162070535,-0.065578476,0.21867597,0.5325613
162080174,-0.05003538,0.22415705,0.53388137
162090535,-0.07713382,0.22815089,0.5527006
162100174,-0.079183646,0.24060033,0.5397522
162110535,-0.09287694,0.25519234,0.54344875
162120935,-0.08811319,0.2349008,0.52734023
162130537,-0.080864556,0.24971123,0.5414338
162140175,-0.08299151,0.23304951,0.52542657
162151336,-0.08299151,0.23304951,0.52542657
162161748,-0.08299151,0.23304951,0.52542657
162171336,-0.08299151,0.23304951,0.52542657
162181735,-0.09491761,0.24949281,0.53086305
162191336,-0.07955806,0.25482827,0.5249043
162201735,-0.089610554,0.24415731,0.5363007
162211336,-0.09156861,0.25667956,0.52699167
162221735,-0.072384715,0.23689774,0.53601164
162231336,-0.08821045,0.24571738,0.5234833
162241735,-0.070696495,0.21326768,0.5346202
162251335,-0.06549219,0.22963814,0.5359831
162261735,-0.07554835,0.22622679,0.5472344
162271335,-0.07918731,0.24785991,0.53960705
162281735,-0.079192795,0.2587493,0.5393893
162292175,-0.0899813,0.25112566,0.521598
162301735,-0.07770275,0.26401195,0.5301385
162312935,-0.08318055,0.24379326,0.5179301
162321736,-0.050039038,0.23141664,0.5337362
162332935,-0.05542689,0.21490055,0.52509457
162341736,-0.070887364,0.22764122,0.5270511
162352936,-0.070887364,0.22764122,0.5270511
162362537,-0.070887364,0.22764122,0.5270511
162372936,-0.070887364,0.22764122,0.5270511
162382575,-0.07434826,0.26030937,0.52648485
162392935,-0.07452632,0.24927437,0.5194238
162402536,-0.08363941,0.24342923,0.49973312
162412935,-0.06092663,0.23823936,0.5120153
162424181,-0.08272351,0.2477871,0.5360545
162432948,-0.056749858,0.24245165,0.540971
162442536,-0.05675809,0.2587857,0.5406444
162444176,-0.06578215,0.25845805,0.5244843
162452936,-0.06922659,0.25845805,0.5245711
162462535,-0.06923391,0.2729772,0.52428085
162464182,-0.09362027,0.27275878,0.51397073
162472935,-0.07630083,0.26194224,0.5173936
162484176,-0.06987083,0.2615782,0.49902284
162492935,-0.069305554,0.2329767,0.52143973
162504176,-0.06401314,0.25667956,0.5262968
162512936,-0.081049934,0.2531954,0.53408253
162524175,-0.0660593,0.26186943,0.5134936
162532936,-0.08655334,0.28379378,0.52085805
162543335,-0.08160423,0.26001814,0.512101
162553736,-0.08160423,0.26001814,0.512101
162564176,-0.08160423,0.26001814,0.512101
162573736,-0.08160423,0.26001814,0.512101
162584176,-0.064275645,0.2310526,0.51588666
162595335,-0.068191744,0.2560971,0.4972686
162604174,-0.06577666,0.24756868,0.524702
162615335,-0.08665061,0.29461035,0.517001
162624181,-0.07843877,0.26705927,0.5009508
162635335,-0.07240301,0.27319565,0.5352859
162644175,-0.08365039,0.265208,0.49929768
162655335,-0.08029041,0.250616,0.4958617
162664175,-0.07312622,0.25083444,0.50660616
162674535,-0.06754385,0.24571738,0.52296215
162684174,-0.062064227,0.2623063,0.5352431
162694536,-0.076392606,0.26186943,0.5137542
162704180,-0.07322348,0.261651,0.502749
162714535,-0.09026028,0.25816682,0.51053464
162724174,-0.076387115,0.25098005,0.51397187
162734535,-0.06977723,0.2580212,0.5027347
162744174,-0.06614192,0.24364765,0.51021695
162755350,-0.06614192,0.24364765,0.51021695
162775350,-0.06614192,0.24364765,0.51021695
162786535,-0.095853634,0.28506264,0.49374345
162795336,-0.07640541,0.287278,0.5132462
162805735,-0.09919349,0.2597269,0.49797773
162815336,-0.055999484,0.2580212,0.5023873
162825735,-0.08931904,0.25936285,0.4795202
162835335,-0.054037772,0.23823936,0.5118416
162845735,-0.0661346,0.22912848,0.5105073
162855346,-0.060286056,0.24237883,0.5374184
162865735,-0.07490256,0.26713207,0.5045033
162875336,-0.07118647,0.27461013,0.5151895
162885735,-0.07323812,0.29068935,0.5021684
162895336,-0.07286005,0.26920184,0.51716155
162905735,-0.073128045,0.25446424,0.5065336
162916175,-0.066791646,0.25765717,0.484451
162925735,-0.06632364,0.23987225,0.50301075
162936175,-0.059166774,0.25460985,0.513465
162945736,-0.07276828,0.26927465,0.5208009
162956936,-0.07276828,0.26927465,0.5208009
162967336,-0.07276828,0.26927465,0.5208009
162976936,-0.07276828,0.26927465,0.5208009
162986536,-0.07880402,0.26313823,0.4864658
162996946,-0.057485867,0.24549896,0.5117833
163006536,-0.07163984,0.26335666,0.4972103
163016970,-0.060741257,0.23475519,0.5193666
163026577,-0.074441865,0.26386634,0.52277297
163036935,-0.05908232,0.26920184,0.5168141
163046537,-0.05962747,0.2578756,0.49519545
163048176,-0.08029407,0.2578756,0.49571657
163056935,-0.0889611,0.27780303,0.4937149
163066536,-0.08895835,0.27235833,0.49382374
163068176,-0.08030139,0.27239475,0.49542627
163076936,-0.09275982,0.25210327,0.47975218
163086540,-0.09275799,0.24847348,0.47982475
163088176,-0.08178228,0.24898314,0.5050399
163096936,-0.05767124,0.24898314,0.5044319
163108175,-0.07313537,0.26898342,0.50624335
163116936,-0.07649719,0.2872052,0.5096067
163128175,-0.07518154,0.27417326,0.49344003
163136936,-0.08216035,0.27047068,0.49004695
163148175,-0.07331708,0.265208,0.49903712
163158536,-0.07331708,0.265208,0.49903712
163177737,-0.07331708,0.265208,0.49903712
163188174,-0.057764843,0.2525401,0.5007199
163199336,-0.044172477,0.2560243,0.49302116
163208175,-0.06950922,0.27275878,0.5133627
163219336,-0.08905287,0.27773023,0.49007553
163228176,-0.080117844,0.27254036,0.50270504
163239335,-0.0907228,0.2650624,0.49219263
163248193,-0.07033518,0.27210352,0.4806081
163259335,-0.071448974,0.24898314,0.50477934
163268176,-0.059533864,0.25431862,0.49890742
163279335,-0.058799684,0.25490108,0.5280225
163288175,-0.06448298,0.27809426,0.50766444
163299335,-0.086907625,0.258094,0.50680846
163308175,-0.08216401,0.27773023,0.4899018
163318535,-0.08039499,0.27595177,0.49171433
163328175,-0.07731216,0.26477113,0.47728762
163338536,-0.07377595,0.26484394,0.48084012
163348175,-0.064754635,0.2706163,0.49689147
163359337,-0.064754635,0.2706163,0.49689147
163379350,-0.064754635,0.2706163,0.49689147
163390570,-0.069869,0.2579484,0.4990954
163399337,-0.09044932,0.2689106,0.50303817
163410535,-0.0891355,0.2595085,0.48679897
163419347,-0.0858801,0.27025223,0.47921562
163429735,-0.06466286,0.2706891,0.5005308
163439336,-0.06131019,0.2706163,0.4968046
163449735,-0.048938047,0.2799456,0.509057
163459335,-0.07862597,0.27417326,0.49352688
163469750,-0.08746924,0.27943593,0.48453668
163479335,-0.07712495,0.25765717,0.48471156
163489735,-0.10265256,0.28876522,0.497484
163499336,-0.06865427,0.26299262,0.47892648
163509735,-0.051331174,0.24491648,0.4824944
163519335,-0.06316001,0.2505432,0.49178806
163529735,-0.05431675,0.24528052,0.5007782
163539336,-0.054473624,0.28328413,0.49455714
163540176,-0.06652914,0.28328413,0.49486116
163549735,-0.07518154,0.27417326,0.49344003
163570536,-0.07518154,0.27417326,0.49344003
163580936,-0.07518154,0.27417326,0.49344003
163590535,-0.07218681,0.25566024,0.47551903
163600935,-0.06129555,0.24157794,0.49738514
163610536,-0.06316367,0.25780278,0.49164292
163620935,-0.06781916,0.24549896,0.5120439
163630536,-0.0851569,0.29261348,0.50789535
163640935,-0.08746741,0.27580613,0.48460925
163650536,-0.08261373,0.25921723,0.47206768
163660935,-0.09761534,0.27232194,0.4922212
163670577,-0.058236517,0.2775846,0.482015
163680936,-0.059990898,0.25032476,0.480783
163690536,-0.059438433,0.24713182,0.50269186
163700936,-0.054507617,0.2596541,0.49320915
163712175,-0.07517788,0.26691365,0.49358517
163720936,-0.078545175,0.29602483,0.49673086
163732174,-0.08896293,0.28143287,0.49364233
163740936,-0.066609934,0.2614326,0.49165723
163752181,-0.085790165,0.27395484,0.48278242
163761736,-0.085790165,0.27395484,0.48278242
163762537,-0.085790165,0.27395484,0.48278242
163772176,-0.085790165,0.27395484,0.48278242
163781736,-0.085790165,0.27395484,0.48278242
163782579,-0.085790165,0.27395484,0.48278242
163792175,-0.054050583,0.2636479,0.5113336
163801735,-0.054565396,0.28321132,0.49091777
163803336,-0.08384308,0.28321132,0.49165606
163812175,-0.06987998,0.27972716,0.49865997
163821736,-0.06987723,0.2742825,0.49876884
163823342,-0.078442425,0.27431887,0.5008057
163832176,-0.07880402,0.26313823,0.4864658
163841735,-0.078794874,0.24498929,0.48682866
163843335,-0.06510892,0.24491648,0.48284185
163852160,-0.05619218,0.27602458,0.49474573
163863335,-0.056179367,0.250616,0.49525374
163872176,-0.05590222,0.24720463,0.5062445
163883335,-0.081886865,0.27431887,0.5008925
163892175,-0.09743362,0.2760974,0.4994274
163903336,-0.09045298,0.2761702,0.50289303
163912175,-0.08365954,0.28335693,0.49893484
163922577,-0.08039133,0.26869217,0.49185947
163932176,-0.059535697,0.2579484,0.49883485
163942574,-0.05552964,0.23660651,0.52101976
163952181,-0.047062617,0.24920157,0.5150895
163963336,-0.047062617,0.24920157,0.5150895
163983336,-0.047062617,0.24920157,0.5150895
163994535,-0.08225213,0.27039787,0.48640755
164003336,-0.089139156,0.26676804,0.48665383
164014535,-0.075352274,0.2486191,0.48666924
164023336,-0.06614558,0.25090724,0.5100718
164034576,-0.06614741,0.25453705,0.5099993
164043335,-0.05926038,0.25816682,0.5097529
164053735,-0.0770405,0.27224913,0.48806065
164063335,-0.08216218,0.27410045,0.48997438
164073735,-0.080211446,0.2760974,0.4989931
164083336,-0.08551484,0.27417326,0.4937006
164093735,-0.075455025,0.27032503,0.48259443
164103336,-0.06502629,0.26313823,0.4861184
164113735,-0.06288103,0.24350204,0.5028513
164123335,-0.062423997,0.24749587,0.52097577
164133735,-0.072948165,0.26186943,0.5136673
164143335,-0.08551668,0.27780303,0.49362803
164153735,-0.0854249,0.27787584,0.49726745
164174575,-0.0854249,0.27787584,0.49726745
164194535,-0.06791826,0.25994533,0.5081142
164204935,-0.06083852,0.24557176,0.51550955
164214541,-0.05758862,0.26720488,0.50770843
164224935,-0.082068585,0.2705435,0.49368632
164234535,-0.071742594,0.28506264,0.49313545
164244935,-0.09082556,0.28676832,0.4881178
164254535,-0.080393165,0.27232194,0.4917869
164264935,-0.07527148,0.27047068,0.48987323
164274535,-0.059541184,0.26883778,0.4986171
164284935,-0.052366015,0.24727744,0.509797
164296175,-0.05861431,0.2514169,0.53537387
164304936,-0.08152343,0.2818697,0.5153049
164314535,-0.081804246,0.29254067,0.50416905
164324936,-0.08728752,0.28321132,0.4917429
164336176,-0.092034794,0.2708347,0.50850445
164344936,-0.07490073,0.26350227,0.5045759
164356175,-0.06660444,0.2505432,0.49187493
164366536,-0.06660444,0.2505432,0.49187493
164376176,-0.06660444,0.2505432,0.49187493
164386536,-0.06660444,0.2505432,0.49187493
164396174,-0.07834151,0.25624272,0.5048079
