timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
31691471,32767,32767,32767,32767,32767,32767,32767
31695471,32767,32767,32767,32767,32767,-62,32767
31699471,32767,32767,32767,32767,-60,32767,32767
31703471,32767,32767,32767,32767,32767,32767,32767
31707471,32767,32767,32767,32767,32767,-78,32767
31711471,32767,32767,32767,32767,-71,32767,32767
31715471,32767,32767,32767,32767,32767,-62,32767
31719471,32767,32767,32767,32767,32767,32767,32767
31723471,32767,32767,32767,32767,32767,32767,32767
31727471,32767,32767,32767,32767,32767,-78,32767
31731471,32767,32767,32767,32767,-61,32767,32767
31735472,32767,32767,32767,32767,32767,-62,32767
31739471,32767,32767,32767,32767,-40,32767,32767
31743471,32767,32767,32767,32767,32767,32767,32767
31747471,32767,32767,32767,32767,32767,-78,32767
31751471,32767,32767,32767,32767,-51,32767,32767
31755471,32767,32767,32767,32767,32767,-62,32767
31759471,32767,32767,32767,32767,32767,32767,32767
31763471,32767,32767,32767,32767,32767,32767,32767
31768271,32767,32767,32767,32767,32767,-86,32767
31772271,32767,32767,32767,32767,-49,32767,32767
31776271,32767,32767,32767,32767,32767,-54,32767
31780271,32767,32767,32767,32767,32767,32767,32767
31784271,32767,32767,32767,32767,-54,-46,32767
31788271,32767,32767,32767,32767,32767,32767,32767
31792271,32767,32767,32767,32767,32767,32767,32767
31796271,32767,32767,32767,32767,-68,-70,32767
31801071,32767,32767,32767,32767,32767,32767,32767
31805871,32767,32767,32767,32767,32767,-62,32767
31809871,32767,32767,32767,32767,32767,32767,32767
31813871,32767,32767,32767,32767,32767,-46,32767
31817871,32767,32767,32767,32767,-74,-70,32767
31821871,32767,32767,32767,32767,32767,32767,32767
31825871,32767,32767,32767,32767,-54,-62,32767
31829871,32767,32767,32767,32767,32767,32767,32767
31833871,32767,32767,32767,32767,32767,32767,32767
31837871,32767,32767,32767,32767,-65,-70,32767
31841871,32767,32767,32767,32767,32767,32767,32767
31845871,32767,32767,32767,32767,32767,-54,32767
31849871,32767,32767,32767,32767,32767,32767,32767
31853871,32767,32767,32767,32767,32767,32767,32767
31857871,32767,32767,32767,32767,-55,-70,32767
31861871,32767,32767,32767,32767,32767,32767,32767
31865871,32767,32767,32767,32767,32767,-54,32767
31869871,32767,32767,32767,32767,-74,32767,32767
31873871,32767,32767,32767,32767,32767,32767,32767
31877871,32767,32767,32767,32767,-44,-70,32767
31881871,32767,32767,32767,32767,32767,32767,32767
31885871,32767,32767,32767,32767,32767,-54,32767
31889871,32767,32767,32767,32767,32767,32767,32767
31893871,32767,32767,32767,32767,32767,32767,32767
31897871,32767,32767,32767,32767,32767,-70,32767
31901871,32767,32767,32767,32767,-75,32767,32767
31905871,32767,32767,32767,32767,32767,-54,32767
