timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
31691471,0.00037592882,-0.0024784142,0.00043474615,3999,0,-0.11944561,0.021987617,-9.658843,3999
31695471,-0.0015308547,-0.0025781957,0.00080406887,4000,0,-0.14602862,0.023955464,-9.656788,4000
31699471,-0.000806471,-0.0038719825,6.8610985e-05,4000,0,-0.12722468,0.034456924,-9.665065,4000
31703471,-0.0022588442,-0.003842241,0.0014863074,4000,0,-0.13628232,0.041685235,-9.6664295,4000
31707471,-0.0019157758,-0.0035060886,0.0023258126,4000,0,-0.1370392,0.019585261,-9.656951,4000
31711471,-0.0021342605,-0.0031890674,0.0022157093,4000,0,-0.12710193,0.013604805,-9.641829,4000
31715471,-0.0013152309,-0.003427407,0.00092209823,4000,0,-0.11306537,0.02128426,-9.669939,4000
31719471,-0.0014084488,-0.0028834091,0.001447149,4000,0,-0.12458523,-0.0059429356,-9.674821,4000
31723471,-0.0022526004,-0.0012842257,0.0017549414,4000,0,-0.121005684,-0.012490641,-9.663352,4000
31727471,-0.0013108347,-0.0015079378,0.0010965412,4000,0,-0.1165611,0.03073101,-9.657665,4000
31731471,-0.0015208743,-0.001612211,0.001210401,4000,0,-0.12328705,0.028737219,-9.660312,4000
31735472,-0.0002603126,-0.0016249534,0.0005399266,4001,0,-0.123911105,0.018826671,-9.647248,4001
31739471,-0.0016631342,-0.0024931806,-0.00025906722,3999,0,-0.119207524,0.027524015,-9.648953,3999
31743471,-0.0019647207,-0.0025847119,0.00049570855,4000,0,-0.13947287,0.028234012,-9.660845,4000
31747471,-0.0031265672,-0.0033228665,0.0008592082,4000,0,-0.13840556,0.010887824,-9.656243,4000
31751471,-0.0017193545,-0.0036231827,0.001788023,4000,0,-0.12600267,0.019641824,-9.654824,4000
31755471,-0.0022669816,-0.0020409962,0.0011318462,4000,0,-0.108353995,0.00091806496,-9.671543,4000
31759471,-0.0014301311,-0.0025826108,0.0005873332,4000,0,-0.118785776,-0.0048740166,-9.6702,4000
31763471,-0.001080897,-0.0025591769,0.0017506361,4000,0,-0.11061527,-0.0004599551,-9.667187,4000
31768271,-0.0015617837,-0.002915264,0.001698903,4800,0,-0.11339721,0.0044357576,-9.676812,4800
31772271,-0.0009063641,-0.002269766,0.00024976704,4000,0,-0.12471273,-0.0045770872,-9.679123,4000
31776271,-0.0018611453,-0.002054702,0.00037614955,4000,0,-0.124584034,0.004242821,-9.674066,4000
31780271,-0.0017522334,-0.0022656412,0.00048410142,4000,0,-0.13495943,0.004791728,-9.670487,4000
31784271,-0.001422351,-0.0017249975,0.00089060754,4000,0,-0.12567171,0.01710619,-9.660492,4000
31788271,-0.0016268868,-0.0023570147,0.0012279762,4000,0,-0.1344666,0.026497014,-9.650944,4000
31792271,-0.0018631602,-0.0036529745,0.00030156475,4000,0,-0.12076545,0.026914611,-9.654628,4000
31796271,-0.0023794402,-0.0027890042,0.0009360286,4000,0,-0.11836454,0.022681534,-9.672689,4000
31801071,-0.0014622206,-0.0023743948,0.0021292244,4800,0,-0.13215208,0.005448816,-9.666046,4800
31805871,-0.00053589576,-0.0029452976,0.00016532067,4800,0,-0.11625135,0.0025786033,-9.648544,4800
31809871,-0.00044573031,-0.0026677053,0.001630313,4000,0,-0.10929016,0.0047935755,-9.671132,4000
31813871,-0.0013234413,-0.0031145874,0.0005966162,4000,0,-0.13424379,0.019138299,-9.679832,4000
31817871,-0.0003802169,-0.0014228167,6.6008784e-06,4000,0,-0.14284566,0.02286996,-9.662557,4000
31821871,-0.0009936031,-0.0024674062,0.001001259,4000,0,-0.153886,0.026173688,-9.666625,4000
31825871,-0.00065931876,-0.0021357127,0.001624524,4000,0,-0.1461233,0.02872041,-9.660213,4000
31829871,-0.00033963763,-0.0023483727,0.0016211173,4000,0,-0.12971947,0.018745339,-9.651387,4000
31833871,0.00091264065,-0.0016228507,0.0006168638,4000,0,-0.13455836,0.018189847,-9.654582,4000
31837871,0.001478442,-0.0023397503,0.0018934646,4000,0,-0.1358971,0.013517313,-9.670181,4000
31841871,-0.000748466,-0.0032954442,0.0021842213,4000,0,-0.13417315,-0.0090836,-9.639305,4000
31845871,-0.0010621714,-0.003501887,0.002514363,4000,0,-0.131683,0.004538542,-9.634869,4000
31849871,0.00018740506,-0.003522896,0.0014187683,4000,0,-0.14321345,0.03844695,-9.658091,4000
31853871,-0.005649465,-0.005108541,0.0021297901,4000,0,-0.1434712,0.05046742,-9.687364,4000
31857871,-0.007648744,-0.0053909817,-0.0011121392,4000,0,-0.09689865,-0.002957336,-9.670824,4000
31861871,-0.005480334,-0.0007570142,-0.0038176351,4000,0,-0.10502461,0.012424201,-9.652832,4000
31865871,-0.0018353619,0.0026713437,-0.0028072847,4000,0,-0.14700009,0.005907877,-9.638795,4000
31869871,0.00037845044,0.0028459777,0.00054093014,4000,0,-0.1798011,0.003000392,-9.637909,4000
31873871,0.0006487318,0.0005498506,0.0028160694,4000,0,-0.19637845,-0.03839362,-9.672831,4000
31877871,0.0035059745,-0.0011617356,0.002139398,4000,0,-0.20102961,-0.05929069,-9.648938,4000
31881871,0.0030085777,-0.005821427,0.0035228834,4000,0,-0.1837706,0.006957679,-9.682146,4000
31885871,0.00071235385,-0.008553794,0.0053390847,4000,0,-0.1470375,0.033217594,-9.677887,4000
31889871,-0.002098508,-0.007432159,0.0035859346,4000,0,-0.0920402,0.049441673,-9.664498,4000
31893871,-0.00079600164,-0.0048212553,0.000404505,4000,0,-0.062977746,0.054360744,-9.664248,4000
31897871,-0.0025555156,-0.0007161585,-0.0017615975,4000,0,-0.09949081,0.06943388,-9.661269,4000
31901871,-0.0013960706,0.002572796,-0.0022837378,4000,0,-0.12988794,0.03501489,-9.638876,4000
31905871,-0.0020154975,0.0025910153,-0.0015232731,4000,0,-0.188435,0.03743166,-9.659793,4000
31909871,-0.002942437,0.00027321032,-0.00028214772,4000,0,-0.19683471,-0.028690983,-9.672062,4000
31913871,-0.0031518713,-0.003981619,-0.0001917459,4000,0,-0.20257424,-0.07240662,-9.654877,4000
31917871,-0.0010009728,-0.0068330704,0.0007670927,4000,0,-0.16496854,-0.020989258,-9.649236,4000
31921871,-0.0010543455,-0.008392061,0.002824952,4000,0,-0.10450456,-0.0025538597,-9.651118,4000
