timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
31691709,-0.001921254,-0.003085704,0.013043254,-0.3832962,0.016456824,-0.015390362,0.92335063,0.92968196,0.072166294,0.0455566,-0.3583408,2
31719737,-0.0036747307,-0.0034804128,0.0140321525,-0.3834134,0.016465219,-0.015313647,0.9233031,0.92968196,0.072166294,0.0455566,-0.3583408,2
31751700,-0.0039761653,-0.0042173415,0.014365453,-0.38353238,0.016457964,-0.015235301,0.92325515,0.92968196,0.072166294,0.0455566,-0.3583408,2
31784491,-0.0036634596,-0.0023163178,0.013454879,-0.38365746,0.016451232,-0.01515697,0.92320454,0.92968196,0.072166294,0.0455566,-0.3583408,2
31814104,-0.0035515733,-0.0037010172,0.0131498445,-0.3837726,0.016452264,-0.0150854625,0.9231578,0.92968196,0.072166294,0.0455566,-0.3583408,2
31846063,-0.0032611615,-0.004082617,0.015034586,-0.38390255,0.01643654,-0.014990161,0.9231056,0.92968196,0.072166294,0.0455566,-0.3583408,2
31878079,0.0013194645,-0.0017361136,0.014639881,-0.38399467,0.016413908,-0.014928956,0.92306876,0.92968196,0.072166294,0.0455566,-0.3583408,2
31910125,-0.005106493,-0.00029232344,0.012202642,-0.3840829,0.016403671,-0.014844599,0.9230336,0.92968196,0.072166294,0.0455566,-0.3583408,2
31942072,-0.0039238106,-0.002526604,0.011977645,-0.38419002,0.016400527,-0.014742559,0.9229906,0.92968196,0.072166294,0.0455566,-0.3583408,2
31974910,-0.0023664157,-0.0026856707,0.013197121,-0.38427466,0.01639244,-0.014650195,0.922957,0.92968196,0.072166294,0.0455566,-0.3583408,2
32006989,-0.0035711946,-0.005190778,0.015993064,-0.38433957,0.01638332,-0.014575542,0.9229314,0.92968196,0.072166294,0.0455566,-0.3583408,2
32034914,-0.0047870255,-0.0040788082,0.0129124755,-0.38439217,0.016371462,-0.014502466,0.92291087,0.92968196,0.072166294,0.0455566,-0.3583408,2
32066885,-0.0047438974,-0.0038389787,0.0139675075,-0.3844627,0.016352065,-0.014415922,0.92288315,0.92968196,0.072166294,0.0455566,-0.3583408,2
32101294,-0.0040889317,-0.0036308644,0.013752511,-0.384562,0.016348932,-0.014335211,0.92284304,0.92968196,0.072166294,0.0455566,-0.3583408,2
32129301,-0.0036742794,-0.0032228066,0.012781937,-0.3846553,0.0163361,-0.014266146,0.92280555,0.92968196,0.072166294,0.0455566,-0.3583408,2
32161291,-0.003661065,-0.0031156573,0.012668203,-0.38477895,0.016316919,-0.014174944,0.92275566,0.92968196,0.072166294,0.0455566,-0.3583408,2
32194152,-0.0030925875,-0.00309399,0.013136587,-0.38490236,0.016301379,-0.014086061,0.92270577,0.92968196,0.072166294,0.0455566,-0.3583408,2
32226103,-0.002020325,-0.0028793267,0.013001099,-0.38500273,0.016290914,-0.014008075,0.92266536,0.92968196,0.072166294,0.0455566,-0.3583408,2
32258922,-0.0018940895,-0.0032998705,0.013091903,-0.38512996,0.016279377,-0.013922109,0.9226138,0.92968196,0.072166294,0.0455566,-0.3583408,2
32286888,-0.0043160464,-0.0036020845,0.013663887,-0.3852301,0.016272383,-0.013857247,0.92257303,0.92968196,0.072166294,0.0455566,-0.3583408,2
32318885,-0.003666984,-0.0024266168,0.013062746,-0.385332,0.016260264,-0.013780382,0.9225318,0.92968196,0.072166294,0.0455566,-0.3583408,2
32350902,-0.0032066563,-0.0038970665,0.014057668,-0.38544524,0.01625076,-0.013702463,0.9224859,0.92968196,0.072166294,0.0455566,-0.3583408,2
32382891,-0.0030614445,-0.003989171,0.014459438,-0.3855637,0.016237222,-0.013619971,0.92243785,0.92968196,0.072166294,0.0455566,-0.3583408,2
32414896,-0.0034011428,-0.0025132392,0.013348215,-0.38568056,0.016224895,-0.013535188,0.9223904,0.92968196,0.072166294,0.0455566,-0.3583408,2
32447737,-0.0046041096,-0.0052562077,0.019604402,-0.38580048,0.016233876,-0.013450758,0.9223414,0.92968196,0.072166294,0.0455566,-0.3583408,2
32475713,-0.0036730254,-0.0007635809,0.00967311,-0.3858989,0.016188728,-0.013396393,0.9223018,0.92968196,0.072166294,0.0455566,-0.3583408,2
32507702,-0.0031069983,-0.0044930405,0.014297526,-0.38601077,0.016201496,-0.013300411,0.9222561,0.92968196,0.072166294,0.0455566,-0.3583408,2
32539698,-0.0037825191,-0.0029285683,0.01245715,-0.38609743,0.016177822,-0.01323783,0.9222212,0.92968196,0.072166294,0.0455566,-0.3583408,2
32571695,-0.003001099,-0.0033311897,0.012944609,-0.3861703,0.016176343,-0.013156064,0.92219186,0.92968196,0.072166294,0.0455566,-0.3583408,2
32603716,-0.0028788894,-0.004070813,0.013292047,-0.38623247,0.016154699,-0.013090051,0.92216706,0.92968196,0.072166294,0.0455566,-0.3583408,2
32635694,-0.0042685247,-0.0006857428,0.012082564,-0.3863263,0.016132155,-0.013022701,0.9221292,0.92968196,0.072166294,0.0455566,-0.3583408,2
32664481,-0.002603115,-0.003725774,0.014230418,-0.38641602,0.016129162,-0.012954544,0.92209256,0.92968196,0.072166294,0.0455566,-0.3583408,2
32696480,-0.0024248352,-0.003556,0.012128392,-0.38654172,0.016117705,-0.012880105,0.9220411,0.92968196,0.072166294,0.0455566,-0.3583408,2
32728474,-0.0035707974,-0.002586266,0.012797651,-0.38671932,0.016109003,-0.012810994,0.92196774,0.92968196,0.072166294,0.0455566,-0.3583408,2
32760485,-0.0023475122,-0.0037220488,0.013952138,-0.3868998,0.016101092,-0.012735024,0.92189324,0.92968196,0.072166294,0.0455566,-0.3583408,2
32792465,-0.0031062583,-0.002461024,0.013086821,-0.38709018,0.016091244,-0.012663144,0.92181444,0.92968196,0.072166294,0.0455566,-0.3583408,2
32824515,-0.0034736202,-0.002120166,0.014038883,-0.3872907,0.016088255,-0.012589124,0.9217313,0.92968196,0.072166294,0.0455566,-0.3583408,2
32854115,-0.002643418,-0.002342012,0.0132875,-0.3874839,0.016081607,-0.012526766,0.9216512,0.92968196,0.072166294,0.0455566,-0.3583408,2
32886927,-0.002848514,-0.0024468368,0.01284215,-0.38771063,0.016074484,-0.0124447765,0.92155695,0.92968196,0.072166294,0.0455566,-0.3583408,2
32918912,-0.0039012132,0.0008195415,0.18629703,-0.38845542,0.016047856,-0.012387927,0.92124444,0.92968196,0.072166294,0.0455566,-0.3583408,2
32951673,-0.0020307032,-0.013302593,-0.50425214,-0.38703123,0.016163845,-0.012214534,0.921844,0.92968196,0.072166294,0.0455566,-0.3583408,2
32979724,0.051463798,0.0038747122,0.87909603,-0.3887867,0.015944943,-0.012068173,0.92111075,0.92968196,0.072166294,0.0455566,-0.3583408,2
33011691,-0.02689671,0.0090559395,-0.2130821,-0.39009145,0.016166836,-0.011895583,0.9205573,0.92968196,0.072166294,0.0455566,-0.3583408,2
33043691,0.019757133,-0.031063398,-0.19033977,-0.38856232,0.016071497,-0.011457342,0.9212111,0.92968196,0.072166294,0.0455566,-0.3583408,2
33075682,0.01827933,-0.008494383,-0.06749004,-0.38910845,0.016039535,-0.011599796,0.9209793,0.92968196,0.072166294,0.0455566,-0.3583408,2
33107672,-0.013340804,-0.00031750987,0.038364105,-0.3891561,0.016123595,-0.011551736,0.9209583,0.92968196,0.072166294,0.0455566,-0.3583408,2
33139697,-0.0041557513,-0.0037835708,-0.023395047,-0.3894516,0.016126882,-0.011462902,0.92083436,0.92968196,0.072166294,0.0455566,-0.3583408,2
33172516,-0.0080555165,-0.005251115,0.020426678,-0.38957882,0.016149143,-0.011447423,0.9207805,0.92968196,0.072166294,0.0455566,-0.3583408,2
33204491,-0.00070118567,-0.0032066861,-0.021010283,-0.3897983,0.016087288,-0.011541312,0.92068744,0.92968196,0.072166294,0.0455566,-0.3583408,2
33236491,0.0024380074,-0.0030127212,0.024564246,-0.38996327,0.016223844,-0.011401512,0.92061687,0.92968196,0.072166294,0.0455566,-0.3583408,2
33268515,-0.0038433126,-0.011651684,-0.008932368,-0.39020643,0.01633765,-0.011526927,0.9205103,0.92968196,0.072166294,0.0455566,-0.3583408,2
33300500,0.010562001,-0.012276489,0.02488241,-0.390427,0.016363638,-0.011575051,0.92041576,0.92968196,0.072166294,0.0455566,-0.3583408,2
33332490,-0.0282978,-0.018175164,0.0254036,-0.3907503,0.016332243,-0.011522603,0.9202797,0.92968196,0.072166294,0.0455566,-0.3583408,2
33362088,0.011069726,-0.013797348,0.0036615403,-0.39085042,0.01646903,-0.011803193,0.9202312,0.92968196,0.072166294,0.0455566,-0.3583408,2
33394099,0.003384118,0.02664635,0.018664174,-0.3912166,0.016470557,-0.011613989,0.920078,0.92968196,0.072166294,0.0455566,-0.3583408,2
33426105,0.013969572,-0.010285094,0.011383844,-0.3913154,0.016780036,-0.011897368,0.92002666,0.92968196,0.072166294,0.0455566,-0.3583408,2
33458094,-0.0033175983,0.0128104715,-0.0020011617,-0.39165282,0.01664216,-0.011723347,0.9198879,0.92968196,0.072166294,0.0455566,-0.3583408,2
33490097,0.04714184,0.023234459,0.050258614,-0.39179558,0.01686148,-0.011912231,0.9198206,0.92968196,0.072166294,0.0455566,-0.3583408,2
33518891,-0.030231297,-0.0035272473,-0.028690958,-0.3919949,0.016953819,-0.0119345775,0.9197338,0.92968196,0.072166294,0.0455566,-0.3583408,2
33551695,0.023268891,-0.02512667,0.049274456,-0.39231968,0.017052049,-0.0119358115,0.91959345,0.92968196,0.072166294,0.0455566,-0.3583408,2
33583708,-0.04780381,-0.030055817,0.017396303,-0.39238888,0.017375166,-0.012224548,0.9195541,0.92968196,0.072166294,0.0455566,-0.3583408,2
33615693,-0.012390253,-0.011643653,-0.005267347,-0.39272436,0.017335888,-0.0120229665,0.9194143,0.92968196,0.072166294,0.0455566,-0.3583408,2
33647693,0.04373476,0.01974689,0.019620154,-0.3928869,0.01748917,-0.012232578,0.9193392,0.92968196,0.072166294,0.0455566,-0.3583408,2
33676518,-0.02518628,0.006479071,0.0015455745,-0.39311737,0.017496424,-0.012186661,0.91924113,0.92968196,0.072166294,0.0455566,-0.3583408,2
33708599,0.03243585,0.0044125076,0.023357835,-0.3934273,0.017419156,-0.012058997,0.9191116,0.92968196,0.072166294,0.0455566,-0.3583408,2
33740538,0.03206923,0.027259475,0.008142015,-0.3936704,0.017600039,-0.0122134,0.919002,0.92968196,0.072166294,0.0455566,-0.3583408,2
33772521,-0.030816527,-0.0070603923,-0.017271828,-0.39401078,0.017547552,-0.012029614,0.9188596,0.92968196,0.072166294,0.0455566,-0.3583408,2
33804557,0.008123859,-0.024289269,0.0059168898,-0.39433628,0.01745687,-0.0118859615,0.9187236,0.92968196,0.072166294,0.0455566,-0.3583408,2
33836504,0.03698029,0.024459036,0.017752513,-0.39458257,0.01749715,-0.011946183,0.9186162,0.92968196,0.072166294,0.0455566,-0.3583408,2
33868489,-0.040878337,-0.008588737,-0.009878887,-0.39489856,0.0173861,-0.011729935,0.9184854,0.92968196,0.072166294,0.0455566,-0.3583408,2
33897345,0.009680593,-0.032457955,0.019425489,-0.39519432,0.017262984,-0.011479976,0.9183636,0.92968196,0.072166294,0.0455566,-0.3583408,2
33929291,0.023754783,0.032056283,0.018878024,-0.3953789,0.0174111,-0.011631391,0.9182794,0.92968196,0.072166294,0.0455566,-0.3583408,2
33961275,-0.040112715,0.0024882322,-0.011179415,-0.3957189,0.017271994,-0.011298219,0.9181398,0.92968196,0.072166294,0.0455566,-0.3583408,2
33993297,0.047746696,-0.003527949,0.048213385,-0.396125,0.016997673,-0.011001218,0.91797334,0.92968196,0.072166294,0.0455566,-0.3583408,2
34025300,0.04703762,0.056405943,0.010942187,-0.3962467,0.017064728,-0.011195771,0.91791725,0.92968196,0.072166294,0.0455566,-0.3583408,2
34057301,-0.067227416,-0.03030389,-0.012652642,-0.3966251,0.017175611,-0.010918648,0.91775507,0.92968196,0.072166294,0.0455566,-0.3583408,2
34086154,0.037368365,-0.018415319,0.026990512,-0.3969924,0.016811375,-0.010666819,0.917606,0.92968196,0.072166294,0.0455566,-0.3583408,2
34118087,0.053022653,0.06208354,0.018907972,-0.39723974,0.016897188,-0.010757783,0.9174962,0.92968196,0.072166294,0.0455566,-0.3583408,2
34150104,-0.06348367,-0.041756503,-0.025791459,-0.39763212,0.017073136,-0.010537062,0.9173257,0.92968196,0.072166294,0.0455566,-0.3583408,2
