timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
31689252,-0.108855106,0.20215988,0.5248752
31699651,-0.12756914,0.20052698,0.5344876
31709252,-0.11582293,0.17667851,0.52191746
31719687,-0.103810556,0.17119741,0.51990265
31729251,-0.07096815,0.20578966,0.5238473
31739651,-0.061845914,0.19348583,0.5439007
31749252,-0.078701,0.19377707,0.55889255
31759651,-0.097791284,0.21000193,0.5535846
31770852,-0.10309284,0.20444801,0.54836464
31779652,-0.11025521,0.2005998,0.5376928
31789253,-0.11062413,0.20393835,0.5230626
31799651,-0.11034149,0.1896376,0.534271
31809251,-0.1102892,0.17696974,0.5363448
31810859,-0.1016781,0.17696974,0.5361277
31819651,-0.093022056,0.17882106,0.5376939
31830852,-0.093022056,0.17882106,0.5376939
31840452,-0.093022056,0.17882106,0.5376939
31850853,-0.093022056,0.17882106,0.5376939
31860455,-0.11174891,0.20259674,0.5467984
31870851,-0.10039173,0.22201452,0.51879984
31880451,-0.07831772,0.20905542,0.5057513
31890860,-0.07654687,0.20364712,0.5076365
31900452,-0.061939515,0.19704282,0.5401887
31910851,-0.07571542,0.19341302,0.54060876
31920451,-0.07720729,0.19178016,0.5497869
31930851,-0.0719975,0.19726126,0.5513674
31940451,-0.07581818,0.21511899,0.53653395
31950851,-0.08112524,0.22045445,0.53109616
31960452,-0.09005294,0.21112514,0.5187569
31970852,-0.08306681,0.20030856,0.5224403
31981253,-0.108379774,0.16985579,0.54372525
31990851,-0.09125669,0.18430215,0.5393613
32000452,-0.09945388,0.18281488,0.555992
32010863,-0.114629894,0.17762502,0.5692296
32020451,-0.11128822,0.19933097,0.56506795
32030851,-0.07935805,0.22230574,0.5328362
32040452,-0.08987489,0.22216013,0.525818
32050851,-0.09694182,0.21112514,0.5189307
32071652,-0.09694182,0.21112514,0.5189307
32091651,-0.106704354,0.17163426,0.54182583
32102851,-0.107926406,0.1811092,0.56170446
32111661,-0.09144939,0.2023055,0.5317196
